team,draft_year_start,draft_year_end,total_picks,draft_capital,players_still_on_team,starter_with_drafting_team_count,starter_with_any_team_count,first_team_all_pro_count,second_team_all_pro_count,top5_award_finish_count,retention_score,starter_score,snap_share_score,star_score,premium_picks,premium_bust_count,premium_bust_rate,premium_draft_capital,premium_raw_score,premium_pick_score,premium_pick_dei,bust_penalty_points,missing_premium_pick_count,missing_premium_pick_cost,missing_pick_penalty_points,raw_score,team_score,draft_efficiency_index,bust_adjusted_raw_score,bust_adjusted_draft_capital,bust_adjusted_team_score,bust_adjusted_dei,rank
LV,2021,2025,41,132.5,22,19,19,1,0,0,0.12829626686322826,0.45099043200732486,0.16976636056791586,0.016009964857053905,17,1,0.058823529411764705,92.0,73.00868626888153,0.7935726768356688,122.12173814706465,-0.8660254037844387,2,14.0,-3.25,101.37085071915678,0.7650630242955229,103.32918489779472,97.25482531537234,146.5,0.6638554629035655,104.1603921636497,11
SEA,2021,2025,41,137.0,30,18,18,1,0,0,0.1580608471492682,0.39790141899663095,0.1911505127093521,0.012642706624590347,15,2,0.13333333333333333,94.0,61.04024598695163,0.6493643190101237,99.92972495526438,-2.178694160529716,4,22.0,-5.093467132000576,104.0865015107383,0.7597554854798416,102.61235028127048,96.814340218208,159.0,0.6088952214981636,95.53700858380093,12
PHI,2021,2025,40,131.0,29,17,17,2,0,0,0.15744834624386672,0.3900601451266404,0.17882967353938867,0.032386570130681566,15,1,0.06666666666666667,92.0,73.24918479866984,0.7961867912898896,122.52402039566444,-0.8660254037844387,2,10.0,-2.9433756729740645,99.39294029031562,0.7587247350405772,102.47313743299526,95.58353921355712,141.0,0.6778974412309016,106.36360965760784,13
ARI,2021,2025,43,139.5,28,18,18,1,0,0,0.14583648990730458,0.43956724151902293,0.1559117455544008,0.010752688172043012,19,2,0.10526315789473684,106.0,67.25034980642045,0.6344372623247212,97.63262204200643,-1.8106601717798212,2,12.0,-2.670820393249937,104.9135090388116,0.7520681651527713,101.57410308042601,100.43202847378184,151.5,0.6629176796949297,104.01325190159815,14
NYG,2021,2025,37,138.0,26,19,19,0,0,0,0.13081189683969413,0.43195308297783047,0.18381822841170745,0.0,17,0,0.0,104.0,67.44491122067389,0.6485087617372489,99.79806449832367,0.0,1,6.0,-2.5,103.02848273563401,0.746583208229232,100.8333064269337,100.52848273563401,144.0,0.6981144634419029,109.53570521086083,15
NE,2021,2025,49,148.5,22,20,22,1,0,0,0.1171885446498834,0.44539549969280134,0.17286043569851406,0.010101010101010102,16,1,0.0625,94.0,61.8907937966033,0.6584126999638649,101.32216706137848,-0.6708203932499369,0,0.0,0.0,110.71350528611802,0.7455454901422089,100.69315253022104,110.0426848928681,148.5,0.7410281810967548,116.26896253856144,16
PIT,2021,2025,37,125.0,25,17,18,0,0,0,0.14142815809957265,0.4073167316357653,0.18804109670310887,0.0,16,2,0.125,94.0,62.20010851046565,0.6617032820262303,101.82854992044311,-1.8106601717798212,1,6.0,-2.5,92.09824830480586,0.736785986438447,99.51009656087476,87.78758813302603,131.0,0.6701342605574506,105.14554941924328,17
CIN,2021,2025,40,134.5,29,17,17,2,0,0,0.14488595179048025,0.3956358994357286,0.17569657359819646,0.019950048869886598,16,2,0.125,94.0,66.22302825411627,0.704500300575705,108.41452048789537,-2.1213203435596424,0,0.0,0.0,99.01465971188225,0.7361684736942918,99.4266954730019,96.89333936832261,134.5,0.7203965752291644,113.03181789154023,18
DET,2021,2025,36,141.5,28,17,18,7,0,0,0.13332480572839014,0.34058544363361737,0.18830691991211884,0.07024915010648937,19,3,0.15789473684210525,116.0,74.85030632278705,0.6452612614033366,99.298311423417,-3.499817760535246,1,4.0,-1.0606601717798212,103.64398419235712,0.7324663193806157,98.92668361064551,99.08350626004206,145.5,0.6809862973198767,106.84825801789626,19
IND,2021,2025,44,131.5,27,18,19,0,0,0,0.14467071776243404,0.40521365221185734,0.17720913862594798,0.0,15,1,0.06666666666666667,86.0,53.85492459401909,0.6262200534188266,96.36808778623191,-0.75,2,12.0,-2.670820393249937,95.61279638093147,0.7270935086002394,98.2010333819502,92.19197598768153,143.5,0.6424527943392441,100.80226607207882,20
