season,award,player_name,team_position,result,rank,votes,source_url
2018,DPOY,Aaron Donald,Los Angeles Rams DT,vote_finisher,1.0,45.0,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,DPOY,Khalil Mack,Chicago Bears LB,vote_finisher,2.0,5.0,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,OROY,Saquon Barkley,New York Giants RB,vote_finisher,1.0,26.5,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,OROY,Baker Mayfield,Cleveland Browns QB,vote_finisher,2.0,21.5,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,OROY,Quenton Nelson,Indianapolis Colts G,vote_finisher,3.0,2.0,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,DROY,Shaquille Leonard,Indianapolis Colts LB,vote_finisher,1.0,29.0,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,DROY,Derwin James,Los Angeles Chargers S,vote_finisher,2.0,20.0,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,DROY,Bradley Chubb,Denver Broncos LB,vote_finisher,3.0,1.0,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,CPOY,Andrew Luck,Indianapolis Colts QB,vote_finisher,1.0,44.0,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,CPOY,J.J. Watt,Houston Texans DE,vote_finisher,2.0,4.0,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,CPOY,Adrian Peterson,Washington Redskins RB,vote_finisher,3.0,2.0,https://www.pro-football-reference.com/awards/awards_2018.htm
2019,MVP,Lamar Jackson,Baltimore Ravens QB,vote_finisher,1.0,50.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,OPOY,Michael Thomas,New Orleans Saints WR,vote_finisher,1.0,19.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,OPOY,Lamar Jackson,Baltimore Ravens QB,vote_finisher,2.0,17.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,OPOY,Christian McCaffrey,Carolina Panthers RB,vote_finisher,3.0,12.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,OPOY,Patrick Mahomes,Kansas City Chiefs QB,vote_finisher,4.0,1.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,OPOY,Russell Wilson,Seattle Seahawks QB,vote_finisher,5.0,1.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DPOY,Stephon Gilmore,New England Patriots RCB,vote_finisher,1.0,21.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DPOY,Chandler Jones,Arizona Cardinals LOLB,vote_finisher,2.0,14.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DPOY,T.J. Watt,Pittsburgh Steelers LOLB,vote_finisher,3.0,10.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DPOY,Shaquil Barrett,Tampa Bay Buccaneers ROLB,vote_finisher,4.0,2.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DPOY,Aaron Donald,Los Angeles Rams RDE,vote_finisher,5.0,1.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DPOY,Danielle Hunter,Minnesota Vikings LDE,vote_finisher,6.0,1.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DPOY,Tre'Davious White,Buffalo Bills RCB,vote_finisher,7.0,1.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,OROY,Kyler Murray,Arizona Cardinals QB,vote_finisher,1.0,26.5,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,OROY,Josh Jacobs,Oakland Raiders RB,vote_finisher,2.0,13.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,OROY,A.J. Brown,Tennessee Titans WR,vote_finisher,3.0,9.5,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,OROY,Miles Sanders,Philadelphia Eagles RB,vote_finisher,4.0,1.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DROY,Nick Bosa,San Francisco 49ers LDE,vote_finisher,1.0,43.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DROY,Maxx Crosby,Oakland Raiders RDE,vote_finisher,2.0,4.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DROY,Devin Bush Jr.,Pittsburgh Steelers LILB,vote_finisher,3.0,2.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DROY,Josh Hines-Allen,Jacksonville Jaguars EDGE,vote_finisher,4.0,1.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,CPOY,Ryan Tannehill,Tennessee Titans QB,vote_finisher,1.0,16.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,CPOY,Jimmy Garoppolo,San Francisco 49ers QB,vote_finisher,2.0,15.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,CPOY,Darren Waller,Oakland Raiders TE,vote_finisher,3.0,8.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,CPOY,Travis Frederick,Dallas Cowboys C,vote_finisher,4.0,6.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,CPOY,Teddy Bridgewater,New Orleans Saints QB,vote_finisher,5.0,1.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,CPOY,Dalvin Cook,Minnesota Vikings RB,vote_finisher,6.0,1.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,CPOY,Cooper Kupp,Los Angeles Rams WR,vote_finisher,7.0,1.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,CPOY,Richard Sherman,San Francisco 49ers RCB,vote_finisher,8.0,1.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,CPOY,Carson Wentz,Philadelphia Eagles QB,vote_finisher,9.0,1.0,https://www.pro-football-reference.com/awards/awards_2019.htm
2020,MVP,Aaron Rodgers,Green Bay Packers QB,vote_finisher,1.0,44.0,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,MVP,Josh Allen,Buffalo Bills QB,vote_finisher,2.0,4.0,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,MVP,Patrick Mahomes,Kansas City Chiefs QB,vote_finisher,3.0,2.0,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,OPOY,Derrick Henry,Tennessee Titans RB,vote_finisher,1.0,32.0,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,OPOY,Patrick Mahomes,Kansas City Chiefs QB,vote_finisher,2.0,5.0,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,OPOY,Aaron Rodgers,Green Bay Packers QB,vote_finisher,3.0,5.0,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,OPOY,Josh Allen,Buffalo Bills QB,vote_finisher,4.0,3.0,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,OPOY,Travis Kelce,Kansas City Chiefs TE,vote_finisher,5.0,3.0,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,OPOY,Alvin Kamara,New Orleans Saints RB,vote_finisher,6.0,2.0,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,DPOY,Aaron Donald,Los Angeles Rams DT,vote_finisher,1.0,27.0,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,DPOY,T.J. Watt,Pittsburgh Steelers LOLB,vote_finisher,2.0,20.0,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,DPOY,Xavien Howard,Miami Dolphins RCB,vote_finisher,3.0,3.0,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,OROY,Justin Herbert,Los Angeles Chargers QB,vote_finisher,1.0,41.0,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,OROY,Justin Jefferson,Minnesota Vikings WR,vote_finisher,2.0,9.0,https://www.pro-football-reference.com/awards/awards_2020.htm
