team,draft_year_start,draft_year_end,total_picks,draft_capital,players_still_on_team,starter_with_drafting_team_count,starter_with_any_team_count,starter_seasons_with_any_team,avg_starter_years_any_team,first_team_all_pro_count,second_team_all_pro_count,top5_award_finish_count,top5_mvp_finish_count,retention_score,starter_score,snap_share_score,starter_longevity_score,star_score,premium_picks,premium_bust_count,premium_bust_rate,premium_draft_capital,premium_raw_score,premium_bust_adjusted_raw_score,premium_bust_adjusted_draft_capital,premium_pick_score,premium_pick_dei,late_round_picks,late_round_draft_capital,late_round_raw_score,late_round_score,late_round_dei,bust_penalty_points,missing_premium_pick_count,missing_premium_pick_cost,missing_pick_penalty_points,raw_score,team_score,draft_efficiency_index,bust_adjusted_raw_score,bust_adjusted_draft_capital,bust_adjusted_team_score,bust_adjusted_dei,rank
PIT,2020,2025,43,142.5,26,20,21,55,1.2790697674418605,0,0,1,0,0.1269246880905996,0.3214704427181956,0.19864511576205054,0.1057550102634519,0.004051580836418427,18,2,0.1111111111111111,104.0,73.70200118544113,70.27014953286299,118.0,0.5955097418039236,109.38159403303473,25,38.5,34.14867318263592,0.8869785242243096,97.87019138056479,-1.2071067811865475,2,14.0,-2.2247448713915894,107.85067436807705,0.7568468376707161,103.91185985045983,104.4188227154989,156.5,0.6672129246996735,104.53196764010293,11
SEA,2020,2025,49,164.5,30,22,23,58,1.183673469387755,2,0,4,0,0.1316373012732507,0.30977790121811727,0.1953026244986968,0.09711162740809226,0.0341124390111837,18,2,0.1111111111111111,112.0,79.05004744753165,74.663877177564,134.0,0.557193113265403,102.34370092515839,31,52.5,47.27639401830489,0.9005027432058075,99.36246866106536,-1.8251407699364424,4,22.0,-2.5610295000312133,126.32644146583654,0.7679418934093406,105.43516393202697,121.94027119586889,186.5,0.6538352342942032,102.43609052382347,12
ATL,2020,2025,42,159.0,24,23,23,47,1.119047619047619,1,0,4,0,0.10102015212717523,0.3280379676048818,0.17044094288559783,0.06186182733786503,0.03073428519464232,20,2,0.1,120.0,77.9037468161669,75.69664003498036,126.0,0.6007669844046061,110.34722991690641,22,39.0,32.139386032708884,0.8240868213515099,90.93065132598066,-1.2071067811865475,1,6.0,-1.0,110.0431328488758,0.6920951751501623,95.02173129865443,107.83602606768925,165.0,0.6535516731375106,102.39166511694347,13
BAL,2020,2025,55,189.5,32,22,26,66,1.2,4,0,2,0,0.117482667735121,0.28608802750415757,0.17641749649429708,0.0828355584749957,0.03451842455049771,22,1,0.045454545454545456,128.0,86.15808693644234,84.42641629056622,140.0,0.6030458306469016,110.76580213670488,33,61.5,45.98825518040123,0.747776506998394,82.51048683938053,-0.7071067811865475,2,12.0,-1.0245638646895838,132.14634211684358,0.697342174759069,95.74212208429095,130.41467147096745,201.5,0.6472192132554215,101.39956129675032,14
IND,2020,2025,53,156.5,30,22,23,61,1.150943396226415,1,0,1,0,0.12938622528531415,0.3159315755436666,0.19440910713479223,0.10130965677295369,0.010434461098117905,18,1,0.05555555555555555,102.0,73.87286676038974,70.42451509124817,122.0,0.5772501236987555,106.02771752258906,35,54.5,43.73234878276344,0.8024284180323566,88.54083914907734,-0.5,3,20.0,-2.948351669141568,117.60521554315318,0.7514710258348446,103.17378369255353,114.1568638740116,176.5,0.6467810984363264,101.33092203273588,15
BUF,2020,2025,48,140.5,31,18,19,47,0.9791666666666666,1,0,2,0,0.14849493954033155,0.27971594202218447,0.20255666868196154,0.08900584626743317,0.021464395263769098,17,0,0.0,98.0,59.24647610173672,55.90041088678549,114.0,0.49035448146303057,90.0669645826356,31,42.5,44.89743364274629,1.0564102033587364,116.56547025140165,0.0,2,16.0,-3.3460652149512313,104.14390974448301,0.7412377917756798,101.7688040712533,100.79784452953177,156.5,0.6440756838947717,100.90706587701445,16
TEN,2020,2025,45,156.5,18,20,21,42,0.9333333333333333,1,0,0,0,0.09436156366454705,0.3391047614176448,0.1593270153481327,0.061178025236356556,0.019169329073482427,19,3,0.15789473684210525,112.0,58.33775667612192,54.15410745120949,116.0,0.466845753889737,85.74894605977177,26,44.5,47.00876205071367,1.0563766752969364,116.56177072797986,-3.830095834319147,1,4.0,-0.35355339059327373,105.34651872683558,0.6731406947401635,92.41936155372197,101.16286950192317,160.5,0.630298252348431,98.74856148471108,17
SF,2020,2025,50,151.5,32,22,24,50,1.0,1,0,1,1,0.15238156798901079,0.35678995983892176,0.2035271824712664,0.07718377376446613,0.015456374828382007,19,4,0.21052631578947367,104.0,55.49025186645485,49.043914489310964,136.0,0.3606170183037571,66.23714362424747,31,47.5,66.51858525569028,1.4003912685408482,154.52072143418013,-2.0245638646895836,5,32.0,-4.4217735124542985,122.00883712214514,0.8053388588920471,110.56960863424844,115.56249974500126,183.5,0.6297683909809333,98.66554832763542,18
WAS,2020,2025,47,160.0,19,23,24,53,1.127659574468085,0,0,2,0,0.08566238736794717,0.3367940489587434,0.18957440234719827,0.06833575394876643,0.006970969197815066,20,2,0.1,118.0,71.06654362733846,67.81317811471861,128.0,0.5297904540212391,97.31045572619469,27,42.0,38.90746626393678,0.9263682443794472,102.216496668375,-2.345117222155994,2,10.0,-0.9082482904638631,109.97400989127524,0.6873375618204702,94.36853117290754,106.7206443786554,170.0,0.6277684963450317,98.35222567811124,19
DEN,2020,2025,48,147.0,26,20,20,52,1.0833333333333333,5,0,3,0,0.12021887298533745,0.29866612360730266,0.18751573594610946,0.08553745451613988,0.05954377095411481,20,2,0.1,106.0,76.57541783528922,71.65066168688031,128.0,0.5597707944287524,102.81716232261932,28,41.0,33.89242999203441,0.8266446339520588,91.21288319732191,-0.985598559653489,3,22.0,-3.939157588755425,110.46784782732362,0.7514819580090042,103.17528463368535,105.54309167891472,169.0,0.6245153353781936,97.84255432085052,20
CAR,2020,2025,44,153.0,23,21,21,49,1.1136363636363635,0,0,2,0,0.10846041763374008,0.30710107172498297,0.1761598711807001,0.08146972217342127,0.00920423719257427,18,2,0.1111111111111111,108.0,70.62509235174005,67.65320125354175,118.0,0.5733322140130657,105.30808663057365,26,45.0,33.78139159378901,0.7506975909730891,82.83280247593117,-2.267766952966369,2,10.0,-0.7041241452319316,104.40648394552906,0.6823953199054187,93.68998232568708,101.43459284733076,163.0,0.6222981156277961,97.49518343725461,21
HOU,2020,2025,46,153.0,30,23,25,52,1.1304347826086956,3,0,3,0,0.13993588502171708,0.36658957136188075,0.19943124759904027,0.08570668532203274,0.04224903016429905,20,1,0.05,112.0,87.89237364826941,77.98968709835198,150.0,0.5199312473223465,95.49954371431171,26,41.0,39.696226530482974,0.9682006470849506,106.8323302504529,-1.7677669529663687,5,38.0,-8.134919596951063,127.58860017875239,0.8339124194689699,114.49263727665601,117.68591362883495,191.0,0.6161566158577746,96.53299725731728,22
ARI,2020,2025,49,159.0,28,21,21,39,0.7959183673469388,1,0,0,0,0.12795088265452192,0.33933763295024727,0.15528980481964613,0.05849763033925436,0.009433962264150943,21,2,0.09523809523809523,118.0,71.34475087532006,68.00578900591967,136.0,0.5000425662199975,91.84644538614714,28,41.0,38.446325296103424,0.9377152511244737,103.46853794265895,-1.2071067811865475,3,18.0,-2.1318550882138423,109.79107617142348,0.6905099130278206,94.8040815348132,106.45211430202309,177.0,0.601424374587701,94.22490322810958,23
NO,2020,2025,38,142.5,25,15,16,42,1.105263157894737,1,0,2,0,0.12934784220723644,0.28389385347112533,0.17369347916086036,0.074915397008511,0.018477144995476858,18,2,0.1111111111111111,110.0,73.73322483232928,70.70069720910845,124.0,0.5701669129766811,104.7266928285086,20,32.5,23.213474817828146,0.7142607636254814,78.81232264646789,-2.0207259421636903,3,14.0,-1.0118016810571369,96.94669965015743,0.68032771684321,93.40610919715844,93.91417202693661,156.5,0.600090556082662,94.01593444521428,24
CHI,2020,2025,48,155.5,26,23,23,59,1.2291666666666667,0,0,0,0,0.11778863088101747,0.3282525338813451,0.20718051488103276,0.09893115758011661,0.0,18,2,0.1111111111111111,112.0,68.20750987216499,62.64082049541839,146.0,0.4290467157220438,78.80612252984348,30,43.5,48.752256316091135,1.1207415245078423,123.66385937884273,-1.2071067811865475,6,34.0,-4.359582595560047,116.95976618825613,0.7521528372235121,103.26739350359763,111.39307681150953,189.5,0.5878262628575701,92.09449279581713,25
LA,2020,2025,56,136.0,28,22,23,50,0.8928571428571429,1,0,5,0,0.1372828217331033,0.3652816049869185,0.21957060821762728,0.09278419613869639,0.03586996454052095,16,2,0.125,80.0,51.69511613924536,41.28132460213461,126.0,0.32762956033440166,60.17809793197084,40,56.0,64.01221446464847,1.143075258297294,126.12818826676906,-1.1153550716504106,6,46.0,-9.298436465460341,115.70733060389384,0.8507891956168665,116.8097470411693,105.29353906678308,182.0,0.5785359289383686,90.63898009716122,26
LV,2020,2025,48,166.5,22,23,23,48,1.0,1,0,1,0,0.10209762978605252,0.3263480987399294,0.15612119170474995,0.060502255424111716,0.016987550298775914,22,2,0.09090909090909091,120.0,76.65296984439262,73.25912299427527,140.0,0.5232794499591091,96.11453238006436,26,46.5,33.57947502688503,0.7221392478900006,79.6816433139909,-0.985598559653489,3,20.0,-2.408248290463863,110.23244487127765,0.6620567259536195,90.8975796636385,106.83859802116031,186.5,0.5728611153949614,89.7499094516097,27
NYJ,2020,2025,47,179.0,21,23,24,53,1.127659574468085,2,0,2,0,0.08311483158729249,0.28712631167979746,0.17022869992130343,0.06535511813355116,0.0223463687150838,19,1,0.05263157894736842,122.0,72.83401160371432,70.90751610899643,136.0,0.5213787949190914,95.7654252817417,28,57.0,39.60865647291375,0.6948887100511184,76.67478882915758,-0.7071067811865475,3,14.0,-1.2193887135313393,112.44266807662807,0.6281713300370283,86.24525856482973,110.51617258191018,193.0,0.5726226558648196,89.71255009754822,28
CLE,2020,2025,44,145.0,21,21,23,48,1.0909090909090908,0,0,1,0,0.10483032323210388,0.3696331038873894,0.19761472142526879,0.07258601830549088,0.006896551724137931,19,2,0.10526315789473684,98.0,67.64686371173244,60.06182191472779,134.0,0.4482225516024462,82.32828740519976,25,47.0,41.329440481554236,0.8793497974798774,97.02842923404546,-1.1543203766865053,5,36.0,-6.430721420318147,108.97630419328668,0.7515607185743909,103.18609812516718,101.39126239628202,181.0,0.5601727204214476,87.76202396007308,29
JAX,2020,2025,59,197.0,28,21,23,63,1.0677966101694916,0,0,2,1,0.09998537236155804,0.22651014431126812,0.1642626978163128,0.09066016134951163,0.008129614072012504,22,1,0.045454545454545456,134.0,82.10386957948973,80.10386957948973,146.0,0.5486566409554091,100.77574513344032,37,63.0,34.03708443291091,0.5402711814747764,59.61411971567442,-0.5,2,12.0,-1.5,116.14095401240063,0.589547989910663,80.94243782699156,114.14095401240063,209.0,0.5461289665665102,85.56179496395364,30
MIA,2020,2025,41,144.5,19,17,18,51,1.2439024390243902,0,0,2,0,0.09912669859550176,0.28072356768897466,0.18173060439675404,0.0861633579402338,0.007718720219033984,18,2,0.1111111111111111,114.0,71.66837353842142,65.13939366728519,144.0,0.4523569004672583,83.08767325126828,23,30.5,23.046022569030576,0.7556072973452648,83.37454490727971,-1.9433756729740645,5,30.0,-4.585604198162152,94.71439610745199,0.6554629488404982,89.9922820404463,88.18541623631577,174.5,0.5053605514975116,79.17462456156808,31
MIN,2020,2025,54,172.0,18,19,22,57,1.0555555555555556,3,0,2,1,0.07017034704877956,0.24532783727411142,0.15480623957780285,0.07564770981426182,0.03369508696357215,19,5,0.2631578947368421,114.0,55.83100059073172,48.1013493632624,142.0,0.3387418969243831,62.21918140100332,35,58.0,43.86832136597506,0.7563503683788804,83.4565361869817,-4.644427190999916,5,28.0,-3.085224036469405,99.69932195670678,0.5796472206785278,79.58310421594332,91.96967072923746,200.0,0.4598483536461873,72.04424771048112,32
