season,award,player_name,team_position,result,rank,votes,source_url
2018,DROY,Shaquille Leonard,Indianapolis Colts LB,vote_finisher,1,29,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,DROY,Derwin James,Los Angeles Chargers S,vote_finisher,2,20,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,DROY,Bradley Chubb,Denver Broncos LB,vote_finisher,3,1,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,CPOY,Andrew Luck,Indianapolis Colts QB,vote_finisher,1,44,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,CPOY,J.J. Watt,Houston Texans DE,vote_finisher,2,4,https://www.pro-football-reference.com/awards/awards_2018.htm
2018,CPOY,Adrian Peterson,Washington Redskins RB,vote_finisher,3,2,https://www.pro-football-reference.com/awards/awards_2018.htm
2019,MVP,Lamar Jackson,Baltimore Ravens QB,vote_finisher,1,50,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,OPOY,Michael Thomas,New Orleans Saints WR,vote_finisher,1,19,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,OPOY,Lamar Jackson,Baltimore Ravens QB,vote_finisher,2,17,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,OPOY,Christian McCaffrey,Carolina Panthers RB,vote_finisher,3,12,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,OPOY,Patrick Mahomes,Kansas City Chiefs QB,vote_finisher,4,1,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,OPOY,Russell Wilson,Seattle Seahawks QB,vote_finisher,5,1,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DPOY,Stephon Gilmore,New England Patriots RCB,vote_finisher,1,21,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DPOY,Chandler Jones,Arizona Cardinals LOLB,vote_finisher,2,14,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DPOY,T.J. Watt,Pittsburgh Steelers LOLB,vote_finisher,3,10,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DPOY,Shaquil Barrett,Tampa Bay Buccaneers ROLB,vote_finisher,4,2,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DPOY,Aaron Donald,Los Angeles Rams RDE,vote_finisher,5,1,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DPOY,Danielle Hunter,Minnesota Vikings LDE,vote_finisher,6,1,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DPOY,Tre'Davious White,Buffalo Bills RCB,vote_finisher,7,1,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,OROY,Kyler Murray,Arizona Cardinals QB,vote_finisher,1,26.5,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,OROY,Josh Jacobs,Oakland Raiders RB,vote_finisher,2,13,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,OROY,A.J. Brown,Tennessee Titans WR,vote_finisher,3,9.5,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,OROY,Miles Sanders,Philadelphia Eagles RB,vote_finisher,4,1,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DROY,Nick Bosa,San Francisco 49ers LDE,vote_finisher,1,43,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DROY,Maxx Crosby,Oakland Raiders RDE,vote_finisher,2,4,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DROY,Devin Bush Jr.,Pittsburgh Steelers LILB,vote_finisher,3,2,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,DROY,Josh Hines-Allen,Jacksonville Jaguars EDGE,vote_finisher,4,1,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,CPOY,Ryan Tannehill,Tennessee Titans QB,vote_finisher,1,16,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,CPOY,Jimmy Garoppolo,San Francisco 49ers QB,vote_finisher,2,15,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,CPOY,Darren Waller,Oakland Raiders TE,vote_finisher,3,8,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,CPOY,Travis Frederick,Dallas Cowboys C,vote_finisher,4,6,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,CPOY,Teddy Bridgewater,New Orleans Saints QB,vote_finisher,5,1,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,CPOY,Dalvin Cook,Minnesota Vikings RB,vote_finisher,6,1,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,CPOY,Cooper Kupp,Los Angeles Rams WR,vote_finisher,7,1,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,CPOY,Richard Sherman,San Francisco 49ers RCB,vote_finisher,8,1,https://www.pro-football-reference.com/awards/awards_2019.htm
2019,CPOY,Carson Wentz,Philadelphia Eagles QB,vote_finisher,9,1,https://www.pro-football-reference.com/awards/awards_2019.htm
2020,MVP,Aaron Rodgers,Green Bay Packers QB,vote_finisher,1,44,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,MVP,Josh Allen,Buffalo Bills QB,vote_finisher,2,4,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,MVP,Patrick Mahomes,Kansas City Chiefs QB,vote_finisher,3,2,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,OPOY,Derrick Henry,Tennessee Titans RB,vote_finisher,1,32,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,OPOY,Patrick Mahomes,Kansas City Chiefs QB,vote_finisher,2,5,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,OPOY,Aaron Rodgers,Green Bay Packers QB,vote_finisher,3,5,https://www.pro-football-reference.com/awards/awards_2020.htm
